k,regressor,VA,RMSE,r2,file_type,dynamic,feature_sel,selection_method,pearson_treshold,max_features
3,RF,VA(mean),0.127752516631658,0.1505627338274976,audio,False,True,RFE,0.0,0
10,DT,VA(mean),0.12788677004284937,0.5750783350417198,eda,False,True,embedded,0.0,0
5,SVRpoly,VA(std),0.12790103901462083,0.5728871309902268,audio,False,True,RreliefF,0.0,10
14,DT,VA(mean),0.12817238562889283,0.18748714338082195,fusion,False,True,backward,0.0,0
16,DT,VA(mean),0.1283508920892153,0.5377129864745221,fusion,False,True,embedded,0.0,0
11,kNN,VA(mean),0.1286912773133662,0.5397983592943479,eda,False,True,RreliefF,0.0,10
2,RF,VA(std),0.1289026989462873,0.4710333964893042,audio,False,True,backward,0.0,0
4,DT,VA(mean),0.12967622425601644,0.5442197033880458,audio,False,True,embedded,0.0,0
14,RF,VA(std),0.1297975494556784,0.4206950288767161,fusion,False,True,backward,0.0,0
8,DT,VA(mean),0.13006057468786528,0.4407224294846073,eda,False,True,backward,0.0,0
8,RF,VA(mean),0.13015897860620534,0.4385355087135275,eda,False,True,backward,0.0,0
5,DT,VA(mean),0.1305446031918038,0.802319641564948,audio,False,True,RreliefF,0.0,10
11,DT,VA(mean),0.13131484382006567,0.52755283996451,eda,False,True,RreliefF,0.0,10
12,DT,VA(mean),0.13161673286032882,0.821853959822465,fusion,False,False,none,0.0,0
13,ElasticNet,VA(std),0.1335933753462641,-0.018038201586504155,fusion,False,True,Pearson,0.1,0
1,ElasticNet,VA(std),0.1335933753462641,-0.018038201586504155,audio,False,True,Pearson,0.1,0
13,Lasso,VA(std),0.1335933753462641,-0.018038201586504155,fusion,False,True,Pearson,0.1,0
1,Lasso,VA(std),0.1335933753462641,-0.018038201586504155,audio,False,True,Pearson,0.1,0
17,DT,VA(mean),0.13382762435604573,0.7578577700409738,fusion,False,True,RreliefF,0.0,10
17,RF,VA(mean),0.13401801877618277,0.7625745261797606,fusion,False,True,RreliefF,0.0,10
2,SVRpoly,VA(std),0.13507255560798798,0.3403870982465567,audio,False,True,backward,0.0,0
10,SVRpoly,VA(mean),0.13508903475191175,0.5253039980486862,eda,False,True,embedded,0.0,0
14,RF,VA(mean),0.1358525320947955,0.13691808069470573,fusion,False,True,backward,0.0,0
