k,regressor,VA,RMSE,r2,type,dynamic,feature_sel,method,Ptresh,max_feat
11,SVRrbf,V(std),0.04810970336684341,-0.1312978300892559,eda,False,True,RreliefF,0.0,10
5,SVRlinear,V(std),0.04815610818526473,-0.13452066324777262,audio,False,True,RreliefF,0.0,10
17,DT,V(std),0.048182383816275716,-0.13473467558215474,fusion,False,True,RreliefF,0.0,10
5,DT,A(std),0.04819315533937709,-0.07291867793108044,audio,False,True,RreliefF,0.0,10
2,SVRlinear,V(std),0.04821368118164646,-0.14532171511937678,audio,False,True,backward,0.0,0
1,kNN,V(std),0.04830251707054693,-0.1387563594156826,audio,False,True,Pearson,0.1,0
13,kNN,V(std),0.04830251707054693,-0.1387563594156826,fusion,False,True,Pearson,0.1,0
16,SVRlinear,A(std),0.04830357612530929,-0.0685712824952506,fusion,False,True,embedded,0.0,0
12,kNN,V(std),0.048336091329948254,-0.13963624105640074,fusion,False,False,none,0.0,0
11,DT,V(std),0.048367074838242964,-0.14965993392883745,eda,False,True,RreliefF,0.0,10
16,kNN,V(std),0.04837057895540022,-0.14345598921444921,fusion,False,True,embedded,0.0,0
14,kNN,V(std),0.048376890995945915,-0.1450917864214616,fusion,False,True,backward,0.0,0
7,LR,A(std),0.04842454467092777,-0.06456078258115386,eda,False,True,Pearson,0.05,0
5,SVRrbf,V(std),0.04843071638106401,-0.15097382537438303,audio,False,True,RreliefF,0.0,10
7,DT,V(std),0.04853651794747641,-0.1558971203461113,eda,False,True,Pearson,0.05,0
2,SVRlinear,A(std),0.04853990033314419,-0.07696698022131933,audio,False,True,backward,0.0,0
15,SVRlinear,A(std),0.048543461637257486,-0.0748070958308033,fusion,False,True,RFE,0.0,0
15,SVRlinear,V(std),0.04856059901669876,-0.15782785171094071,fusion,False,True,RFE,0.0,0
13,SVRlinear,V(std),0.048614826278762735,-0.15928989882969918,fusion,False,True,Pearson,0.1,0
1,SVRlinear,V(std),0.048614826278762735,-0.15928989882969918,audio,False,True,Pearson,0.1,0
8,DT,V(std),0.048620998588778636,-0.16621990675871048,eda,False,True,backward,0.0,0
9,SVRlinear,V(std),0.048670611917421246,-0.16404055441385415,eda,False,True,RFE,0.0,0
15,DT,V(std),0.04867351435319362,-0.16947035445801245,fusion,False,True,RFE,0.0,0
4,DT,A(std),0.04869305872508506,-0.10164259224316792,audio,False,True,embedded,0.0,0
7,SVRlinear,V(std),0.04871470716276673,-0.16244122179611403,eda,False,True,Pearson,0.05,0
8,SVRrbf,V(std),0.04872243901045532,-0.16333565550059032,eda,False,True,backward,0.0,0
9,DT,V(std),0.0487239220286274,-0.1516266221606593,eda,False,True,RFE,0.0,0
6,Ridge,V(std),0.04873858942800483,-0.16085703943215182,eda,False,False,none,0.0,0
14,DT,A(std),0.04875807327049516,-0.09353807061557487,fusion,False,True,backward,0.0,0
6,SVRrbf,V(std),0.048789125388405394,-0.1685864767932769,eda,False,False,none,0.0,0
5,DT,V(std),0.04884401816112565,-0.1414618161824493,audio,False,True,RreliefF,0.0,10
12,SVRlinear,A(std),0.04890595067544393,-0.09044240576571304,fusion,False,False,none,0.0,0
1,DT,V(std),0.048913601527699094,-0.16226719681681687,audio,False,True,Pearson,0.1,0
3,DT,A(std),0.04896702105354141,-0.09778892571892107,audio,False,True,RFE,0.0,0
0,SVRlinear,A(std),0.04897755513065936,-0.0970226906298465,audio,False,False,none,0.0,0
7,SVRpoly,V(std),0.048982860865773484,-0.17464453059360027,eda,False,True,Pearson,0.05,0
13,DT,V(std),0.048998041902901,-0.17902961069140927,fusion,False,True,Pearson,0.1,0
12,Ridge,A(std),0.04902723772727754,-0.10132912064578041,fusion,False,False,none,0.0,0
3,SVRrbf,V(std),0.04903125121358613,-0.17594451467143907,audio,False,True,RFE,0.0,0
7,SVRrbf,V(std),0.04905009850433689,-0.17927339389174124,eda,False,True,Pearson,0.05,0
13,SVRpoly,V(std),0.049068871468378975,-0.1806737628014155,fusion,False,True,Pearson,0.1,0
1,SVRpoly,V(std),0.049068871468378975,-0.1806737628014155,audio,False,True,Pearson,0.1,0
